id,current_price,market_cap,price_change_percentage_24h,ath,atl,timestamps
fasttoken,0.936376,405289621,-31.90025,4.61,0.398142,29/11/2025 40:25:08
tominet,4.93e-06,276008203,-21.02112,6.59,4.61611e-07,29/11/2025 40:25:08
hash-2,0.02218068,1145549140,-7.46957,0.060147,0.01378736,29/11/2025 40:25:08
pi-network,0.245627,2052278095,-5.27107,2.99,0.172081,29/11/2025 40:25:08
canton-network,0.084454,3013061317,-4.22255,0.159483,0.073234,29/11/2025 40:25:08
curve-dao-token,0.426128,609318016,-4.02823,15.37,0.180354,29/11/2025 40:25:08
pancakeswap-token,2.37,799523228,-3.84347,43.96,0.194441,29/11/2025 40:25:08
starknet,0.136704,622577391,-3.81922,4.41,0.082871,29/11/2025 40:25:08
aptos,2.12,1555882011,-3.69912,19.92,2.11,29/11/2025 40:25:08
dash,57.27,714135655,-2.97108,1493.59,0.213899,29/11/2025 40:25:08
